Codepoint,Hex,Form,Category,Construction Recipe,Notes
U+E000,E000,a,vowel-independent,"carrier alone","inherent /a/; independent a"
U+E001,E001,ā,vowel-independent,"carrier + length stroke (P2)","long a"
U+E002,E002,i,vowel-independent,"carrier + i-mark (up-arc, P4)",""
U+E003,E003,ī,vowel-independent,"carrier + i-mark + length",""
U+E004,E004,u,vowel-independent,"carrier + u-mark (down-bowl, P4)",""
U+E005,E005,ū,vowel-independent,"carrier + u-mark + length",""
U+E006,E006,ṛ,vowel-independent,"carrier + retroflex curl (P6)","vocalic r"
U+E007,E007,e,vowel-independent,"carrier + e-mark (right bar, P2)",""
U+E008,E008,ai,vowel-independent,"carrier + e-mark + diphthong tick (P3)",""
U+E009,E009,o,vowel-independent,"carrier + o-mark (right bar + bowl)",""
U+E00A,E00A,au,vowel-independent,"carrier + o-mark + diphthong tick",""
U+E011,E011,ā,vowel-matra,"length stroke, right (P2)","attaches right of consonant"
U+E012,E012,i,vowel-matra,"up-arc, right (P4)",""
U+E013,E013,ī,vowel-matra,"up-arc + length",""
U+E014,E014,u,vowel-matra,"down-bowl, right (P4)",""
U+E015,E015,ū,vowel-matra,"down-bowl + length",""
U+E016,E016,ṛ,vowel-matra,"retroflex curl, right (P6)",""
U+E017,E017,e,vowel-matra,"right bar (P2)",""
U+E018,E018,ai,vowel-matra,"right bar + diphthong tick (P3)",""
U+E019,E019,o,vowel-matra,"right bar + bowl",""
U+E01A,E01A,au,vowel-matra,"right bar + bowl + diphthong tick",""
U+E020,E020,k,consonant-guttural,"stem + top cap","varga base"
U+E021,E021,kh,consonant-guttural,"base + aspiration tick (P3)",""
U+E022,E022,g,consonant-guttural,"base + voicing bar (P2)",""
U+E023,E023,gh,consonant-guttural,"base + voicing bar + aspiration tick",""
U+E024,E024,ṅ,consonant-guttural,"base + nasal loop (P5, top)",""
U+E025,E025,c,consonant-palatal,"stem + upper-left hook (P4)","varga base"
U+E026,E026,ch,consonant-palatal,"base + aspiration tick",""
U+E027,E027,j,consonant-palatal,"base + voicing bar",""
U+E028,E028,jh,consonant-palatal,"base + voicing bar + aspiration tick",""
U+E029,E029,ñ,consonant-palatal,"base + nasal loop",""
U+E02A,E02A,ṭ,consonant-retroflex,"stem + foot-curl (P6)","varga base"
U+E02B,E02B,ṭh,consonant-retroflex,"base + aspiration tick",""
U+E02C,E02C,ḍ,consonant-retroflex,"base + voicing bar",""
U+E02D,E02D,ḍh,consonant-retroflex,"base + voicing bar + aspiration tick",""
U+E02E,E02E,ṇ,consonant-retroflex,"base + nasal loop",""
U+E02F,E02F,t,consonant-dental,"stem + bottom base","varga base"
U+E030,E030,th,consonant-dental,"base + aspiration tick",""
U+E031,E031,d,consonant-dental,"base + voicing bar",""
U+E032,E032,dh,consonant-dental,"base + voicing bar + aspiration tick",""
U+E033,E033,n,consonant-dental,"base + nasal loop",""
U+E034,E034,p,consonant-labial,"stem + right bowl (P4)","varga base"
U+E035,E035,ph,consonant-labial,"base + aspiration tick",""
U+E036,E036,b,consonant-labial,"base + voicing bar",""
U+E037,E037,bh,consonant-labial,"base + voicing bar + aspiration tick",""
U+E038,E038,m,consonant-labial,"base + nasal loop",""
U+E039,E039,y,consonant-semivowel,"left-opening arc (P4)","echoes i"
U+E03A,E03A,r,consonant-semivowel,"flowing stroke + small curl","echoes ṛ"
U+E03B,E03B,l,consonant-semivowel,"stem + basal right-branch","lateral"
U+E03C,E03C,v,consonant-semivowel,"up-opening bowl (P4)","echoes u"
U+E03D,E03D,ś,consonant-sibilant,"palatal hook + friction hatch","two ticks, not one"
